arm,method_name,seed,target,evaluation_set,n_days,fit_window_empirical_resolution,extrapolated_quantile_levels,extrapolation_note,activation_positive_q99_note,quantile_level,exceedance_frequency,pressure_exceedance_frequency,n_valid,n_pressure
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0661532385466034,0.5536723163841808,5064,354
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.0495655608214849,0.4604519774011299,5064,354
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0670449768810424,,4758,0
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0237494745691467,,4758,0
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.143341307814992,,5016,0
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1257974481658692,,5016,0
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0705741626794258,0.4786324786324786,5016,351
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0488437001594896,0.358974358974359,5016,351
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0661881977671451,0.5536723163841808,5016,354
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.0494417862838915,0.4604519774011299,5016,354
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.066227977074931,,4711,0
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0235618764593504,,4711,0
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1411927330173775,,5064,0
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1263823064770932,,5064,0
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0732622432859399,0.4677871148459384,5064,357
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0499605055292259,0.3473389355742297,5064,357
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0679304897314376,0.5649717514124294,5064,354
