,datetime,Up,Down,sp,cloud_amount,wind_speed,precipitation_amount,pressure,air_temperature,relative_humidity,wind_direction,date,Down_Cap,Up_Cap,is_public_holiday,electricity_consumption,electricity_consumption_Finnish_networks,electricity_consumption_forecast
1025,2024-08-02 15:00:00+00:00,50.102088928222656,1.4792304039001465,23.36,5.988888888888889,2.741111111111111,0.4333333333333333,1005.1422222222222,18.78666666666667,79.67777777777778,189.37777777777777,2024-08-02,17.76,14.35,0,32139.07,4562658.434,33610.0
1026,2024-08-02 16:00:00+00:00,64.37425231933594,-15.681650161743164,23.53,5.877777777777778,2.7233333333333336,0.0,1005.1544444444444,18.667777777777776,80.12222222222222,198.95555555555555,2024-08-02,14.94,14.35,0,31649.18,4570292.891,33094.9
1027,2024-08-02 17:00:00+00:00,73.99053955078125,-15.681650161743164,23.64,6.144444444444445,2.625555555555556,0.0,1005.0311111111112,18.288888888888888,82.21111111111112,208.17777777777772,2024-08-02,12.47,14.35,0,31294.93,4508015.807,32717.7
1028,2024-08-02 18:00:00+00:00,33.16624069213867,-15.323604583740234,23.02,6.1,2.3944444444444444,0.0,1005.1033333333332,17.19888888888889,87.26666666666667,178.1888888888889,2024-08-02,17.46,14.35,0,30252.25,4317795.463,31626.9
1029,2024-08-02 19:00:00+00:00,38.26778030395508,-10.47815990447998,22.09,6.288888888888889,2.293333333333333,0.5066666666666666,1005.2977777777778,16.405555555555555,91.13333333333334,176.86666666666667,2024-08-02,21.3,16.22,0,30804.86,4452362.96,31728.7
1030,2024-08-02 20:00:00+00:00,84.41827392578125,-11.717643737792969,19.96,6.1,2.1077777777777778,0.5733333333333334,1005.3933333333332,15.985555555555557,92.78888888888888,168.5111111111111,2024-08-02,24.86,16.22,0,29509.82,4218576.999,31210.5
1031,2024-08-02 21:00:00+00:00,166.2135009765625,-31.21501922607422,13.76,6.033333333333333,2.0866666666666664,0.0266666666666666,1005.4355555555557,15.678888888888888,93.67777777777778,170.5111111111111,2024-08-02,30.02,12.92,0,28109.66,3827634.124,29721.5
1032,2024-08-02 22:00:00+00:00,42.58397674560547,-49.61343002319336,14.98,6.077777777777778,2.017777777777778,0.0,1005.3988888888888,15.377777777777778,94.87777777777778,175.5222222222222,2024-08-03,35.0,12.24,0,27191.79,3548886.886,28324.3
1033,2024-08-02 23:00:00+00:00,36.52323913574219,-30.159154891967773,14.24,6.433333333333334,2.0933333333333333,0.0,1005.3522222222222,15.398888888888887,94.98888888888888,165.42222222222225,2024-08-03,17.1,9.61,0,26809.72,3396789.933,27458.6
1034,2024-08-03 00:00:00+00:00,45.295143127441406,-23.74289894104004,13.51,6.611111111111112,2.01,0.0466666666666666,1005.2377777777778,15.213333333333331,95.7,144.0888888888889,2024-08-03,16.98,9.29,0,26573.91,3322304.518,27115.300000000003
1035,2024-08-03 01:00:00+00:00,48.16788864135742,-23.40867042541504,13.08,6.722222222222222,1.933333333333333,0.0066666666666666,1005.2255555555556,15.023333333333332,96.1,149.6,2024-08-03,17.64,9.9,0,26539.25,3246597.431,26832.3
1036,2024-08-03 02:00:00+00:00,37.91666793823242,-19.895530700683597,12.46,7.522222222222222,2.022222222222222,0.0,1005.1766666666666,15.22888888888889,95.65555555555557,169.74444444444444,2024-08-03,17.64,9.5,0,26300.38,3176221.822,26600.1
1037,2024-08-03 03:00:00+00:00,42.31933975219727,-53.84075546264648,13.75,7.6,2.1866666666666665,0.0,1005.1944444444443,15.538888888888888,94.6,137.88888888888886,2024-08-03,32.0,12.0,0,27102.25,3275473.955,27265.9
1038,2024-08-03 04:00:00+00:00,42.31933975219727,-39.44802474975586,15.97,7.422222222222222,2.2788888888888885,0.0266666666666666,1005.1777777777776,15.982222222222225,93.14444444444445,59.41111111111111,2024-08-03,30.0,12.0,0,27752.85,3398952.396,28029.5
1039,2024-08-03 05:00:00+00:00,45.12926483154297,-28.246713638305664,18.65,7.2,2.381111111111111,0.04,1005.151111111111,16.634444444444444,89.84444444444443,54.7,2024-08-03,24.41,12.0,0,29093.31,3603262.477,28957.9
1040,2024-08-03 06:00:00+00:00,54.796836853027344,-37.78921508789063,19.58,6.966666666666667,2.5900000000000003,0.0,1005.2233333333334,17.17111111111111,87.01111111111112,62.54444444444445,2024-08-03,23.0,13.29,0,30494.42,3805829.201,30110.1
1041,2024-08-03 07:00:00+00:00,41.16138458251953,-38.55101013183594,20.24,6.811111111111112,2.82,0.0066666666666666,1005.3355555555556,17.877777777777776,82.98888888888888,56.96666666666667,2024-08-03,21.26,15.3,0,31347.26,3958609.658,31026.4
