target,forecast_origin_utc,horizon_hour,timestamp_utc,actual,forecast
Down,2025-02-12T22:00:00+00:00,4,2025-02-13T02:00:00+00:00,7.220000267028809,0.4326790731943892
Down,2025-02-12T22:00:00+00:00,5,2025-02-13T03:00:00+00:00,7.240000247955322,-0.42666895417535106
Down,2025-02-12T22:00:00+00:00,6,2025-02-13T04:00:00+00:00,10.609999656677246,5.309788550187892
Down,2025-02-12T22:00:00+00:00,7,2025-02-13T05:00:00+00:00,20.665000915527344,0.752411197389859
Down,2025-02-12T22:00:00+00:00,8,2025-02-13T06:00:00+00:00,17.529998779296875,2.801200036368673
Down,2025-02-12T22:00:00+00:00,9,2025-02-13T07:00:00+00:00,6.785000324249268,8.015001694933789
Down,2025-02-12T22:00:00+00:00,10,2025-02-13T08:00:00+00:00,21.380001068115234,5.792333689941609
Down,2025-02-12T22:00:00+00:00,11,2025-02-13T09:00:00+00:00,40.48500061035156,5.086689701541381
Down,2025-02-12T22:00:00+00:00,12,2025-02-13T10:00:00+00:00,32.880001068115234,4.674368592070013
Down,2025-02-12T22:00:00+00:00,13,2025-02-13T11:00:00+00:00,59.09499740600586,-4.688821977055665
Down,2025-02-12T22:00:00+00:00,14,2025-02-13T12:00:00+00:00,23.96999931335449,-9.370956917704559
Down,2025-02-12T22:00:00+00:00,15,2025-02-13T13:00:00+00:00,83.2699966430664,-8.967512895684461
Down,2025-02-12T22:00:00+00:00,16,2025-02-13T14:00:00+00:00,83.2699966430664,-8.975720608539461
Down,2025-02-12T22:00:00+00:00,17,2025-02-13T15:00:00+00:00,34.092498779296875,-10.793350545380639
Down,2025-02-12T22:00:00+00:00,18,2025-02-13T16:00:00+00:00,47.55500030517578,-14.317006451061184
Down,2025-02-12T22:00:00+00:00,19,2025-02-13T17:00:00+00:00,47.55500030517578,-14.497222996153026
Down,2025-02-12T22:00:00+00:00,20,2025-02-13T18:00:00+00:00,54.00333023071289,-12.22483119415978
Down,2025-02-12T22:00:00+00:00,21,2025-02-13T19:00:00+00:00,65.02999877929688,-16.105824753519325
